时间戳：2024年05月09日10:39:40 股票代码：600990           item         value
15   buy_3_vol  2.000000e+03
16       buy_4  2.324000e+01
17   buy_4_vol  2.600000e+03
18       buy_5  2.323000e+01
19   buy_5_vol  2.300000e+03
20          最新  2.328000e+01
21          均价  2.325000e+01
22          涨幅  2.870000e+00
23          涨跌  6.500000e-01
24          总手  3.009730e+05
25          金额  6.996748e+08
26          换手  1.119000e+01
27          量比  5.480000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.371960e+05
35          内盘  1.637770e+05

时间戳：2024年05月09日10:40:41 股票代码：600990           item         value
0       sell_5  2.340000e+01
1   sell_5_vol  5.430000e+04
2       sell_4  2.339000e+01
3   sell_4_vol  2.800000e+03
4       sell_3  2.338000e+01
5   sell_3_vol  2.500000e+03
6       sell_2  2.336000e+01
7   sell_2_vol  5.500000e+03
8       sell_1  2.329000e+01
9   sell_1_vol  3.500000e+03
10       buy_1  2.328000e+01
11   buy_1_vol  1.000000e+02
12       buy_2  2.327000e+01
13   buy_2_vol  8.000000e+02
14       buy_3  2.326000e+01
15   buy_3_vol  8.000000e+02
16       buy_4  2.325000e+01
17   buy_4_vol  2.200000e+03
18       buy_5  2.324000e+01
19   buy_5_vol  2.600000e+03
20          最新  2.329000e+01
21          均价  2.325000e+01
22          涨幅  2.920000e+00
23          涨跌  6.600000e-01
24          总手  3.011470e+05
25          金额  7.000801e+08
26          换手  1.119000e+01
27          量比  5.480000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.372990e+05
35          内盘  1.638480e+05

时间戳：2024年05月09日10:40:46 股票代码：600990           item         value
0       sell_5  2.341000e+01
1   sell_5_vol  1.000000e+03
2       sell_4  2.340000e+01
3   sell_4_vol  5.430000e+04
4       sell_3  2.339000e+01
5   sell_3_vol  7.800000e+03
6       sell_2  2.338000e+01
7   sell_2_vol  2.500000e+03
8       sell_1  2.336000e+01
9   sell_1_vol  5.500000e+03
10       buy_1  2.330000e+01
11   buy_1_vol  6.300000e+03
12       buy_2  2.328000e+01
13   buy_2_vol  1.000000e+02
14       buy_3  2.327000e+01
15   buy_3_vol  8.000000e+02
16       buy_4  2.326000e+01
17   buy_4_vol  8.000000e+02
18       buy_5  2.325000e+01
19   buy_5_vol  2.200000e+03
20          最新  2.330000e+01
21          均价  2.325000e+01
22          涨幅  2.960000e+00
23          涨跌  6.700000e-01
24          总手  3.011840e+05
25          金额  7.001663e+08
26          换手  1.120000e+01
27          量比  5.480000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373060e+05
35          内盘  1.638780e+05

时间戳：2024年05月09日10:40:51 股票代码：600990           item         value
0       sell_5  2.341000e+01
1   sell_5_vol  1.000000e+03
2       sell_4  2.340000e+01
3   sell_4_vol  5.430000e+04
4       sell_3  2.339000e+01
5   sell_3_vol  7.800000e+03
6       sell_2  2.338000e+01
7   sell_2_vol  2.500000e+03
8       sell_1  2.336000e+01
9   sell_1_vol  5.000000e+03
10       buy_1  2.330000e+01
11   buy_1_vol  2.800000e+03
12       buy_2  2.329000e+01
13   buy_2_vol  8.000000e+02
14       buy_3  2.328000e+01
15   buy_3_vol  7.000000e+02
16       buy_4  2.327000e+01
17   buy_4_vol  3.400000e+03
18       buy_5  2.326000e+01
19   buy_5_vol  9.700000e+03
20          最新  2.330000e+01
21          均价  2.325000e+01
22          涨幅  2.960000e+00
23          涨跌  6.700000e-01
24          总手  3.012490e+05
25          金额  7.003178e+08
26          换手  1.120000e+01
27          量比  5.490000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373420e+05
35          内盘  1.639070e+05

时间戳：2024年05月09日10:40:56 股票代码：600990           item         value
0       sell_5  2.339000e+01
1   sell_5_vol  7.800000e+03
2       sell_4  2.338000e+01
3   sell_4_vol  2.500000e+03
4       sell_3  2.336000e+01
5   sell_3_vol  5.400000e+03
6       sell_2  2.335000e+01
7   sell_2_vol  2.100000e+03
8       sell_1  2.331000e+01
9   sell_1_vol  1.500000e+03
10       buy_1  2.330000e+01
11   buy_1_vol  1.800000e+03
12       buy_2  2.329000e+01
13   buy_2_vol  8.000000e+02
14       buy_3  2.328000e+01
15   buy_3_vol  6.700000e+03
16       buy_4  2.327000e+01
17   buy_4_vol  3.400000e+03
18       buy_5  2.326000e+01
19   buy_5_vol  9.700000e+03
20          最新  2.331000e+01
21          均价  2.325000e+01
22          涨幅  3.000000e+00
23          涨跌  6.800000e-01
24          总手  3.012660e+05
25          金额  7.003574e+08
26          换手  1.120000e+01
27          量比  5.490000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373470e+05
35          内盘  1.639190e+05

时间戳：2024年05月09日10:41:01 股票代码：600990           item         value
0       sell_5  2.339000e+01
1   sell_5_vol  7.800000e+03
2       sell_4  2.338000e+01
3   sell_4_vol  2.500000e+03
4       sell_3  2.336000e+01
5   sell_3_vol  5.400000e+03
6       sell_2  2.335000e+01
7   sell_2_vol  2.100000e+03
8       sell_1  2.331000e+01
9   sell_1_vol  1.600000e+03
10       buy_1  2.330000e+01
11   buy_1_vol  1.900000e+03
12       buy_2  2.329000e+01
13   buy_2_vol  8.000000e+02
14       buy_3  2.328000e+01
15   buy_3_vol  7.000000e+03
16       buy_4  2.327000e+01
17   buy_4_vol  3.400000e+03
18       buy_5  2.326000e+01
19   buy_5_vol  9.700000e+03
20          最新  2.331000e+01
21          均价  2.325000e+01
22          涨幅  3.000000e+00
23          涨跌  6.800000e-01
24          总手  3.012660e+05
25          金额  7.003574e+08
26          换手  1.120000e+01
27          量比  5.490000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373470e+05
35          内盘  1.639190e+05

时间戳：2024年05月09日10:41:06 股票代码：600990           item         value
0       sell_5  2.335000e+01
1   sell_5_vol  2.100000e+03
2       sell_4  2.334000e+01
3   sell_4_vol  2.000000e+02
4       sell_3  2.331000e+01
5   sell_3_vol  4.800000e+03
6       sell_2  2.330000e+01
7   sell_2_vol  8.000000e+02
8       sell_1  2.329000e+01
9   sell_1_vol  1.800000e+03
10       buy_1  2.328000e+01
11   buy_1_vol  7.300000e+03
12       buy_2  2.327000e+01
13   buy_2_vol  3.400000e+03
14       buy_3  2.326000e+01
15   buy_3_vol  1.060000e+04
16       buy_4  2.325000e+01
17   buy_4_vol  2.200000e+03
18       buy_5  2.324000e+01
19   buy_5_vol  2.000000e+03
20          最新  2.329000e+01
21          均价  2.325000e+01
22          涨幅  2.920000e+00
23          涨跌  6.600000e-01
24          总手  3.013120e+05
25          金额  7.004646e+08
26          换手  1.120000e+01
27          量比  5.410000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.373540e+05
35          内盘  1.639580e+05

时间戳：2024年05月09日10:41:11 股票代码：600990           item         value
0       sell_5  2.336000e+01
1   sell_5_vol  5.400000e+03
2       sell_4  2.335000e+01
3   sell_4_vol  2.100000e+03
4       sell_3  2.334000e+01
